paper_id,filename,title,bucket,matched_keyword,suggested_action,status,session,commit
001,PAPER_001_GW170817_UQFF_Damping_Analysis.md,GW170817 UQFF Damping Analysis,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite hook,DONE v5.78,262,7fadd27d
002,PAPER_002_GW190425_Mass_Gap_Interpretation.md,GW190425 Mass Gap Interpretation via UQFF,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite hook,DONE v5.78,262,7fadd27d
003,PAPER_003_GW150914_UQFF_vs_LIGO_Strain.md,GW150914 UQFF vs LIGO Strain Comparison,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite hook,DONE v5.78,262,7fadd27d
004,PAPER_004_GW170817_BNS_Chirp_Phase_Evolution.md,GW170817 BNS Chirp Phase Evolution — GR vs UQFF,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite hook,DONE v5.78,262,7fadd27d
005,PAPER_005_BH_Merger_Energy_Retention_UQFF.md,BH Merger Energy Retention in UQFF Framework,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite hook,DONE v5.78,262,7fadd27d
006,PAPER_006_GW170817_Multi_Messenger_Full_Inspiral.md,Multi-Messenger GW170817 — Kilonova + UQFF Predictions,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite hook,DONE v5.78,262,7fadd27d
007,PAPER_007_Tidal_Deformability_Constraints_BNS_UQFF.md,Tidal Deformability Constraints from BNS Mergers in UQFF,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite hook,DONE v5.78,262,7fadd27d
008,PAPER_008_UQFF_Waveform_Phase_Evolution_Template_Mismatch.md,UQFF Waveform Phase Evolution and Template Mismatch,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite hook,DONE v5.78,262,7fadd27d
008,PAPER_008b_Full_Inspiral_Waveform_UQFF.md,Full Inspiral Waveform Modeling with UQFF — GW170817 100-Second Analysis,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite hook,DONE v5.78,262,7fadd27d
009,PAPER_009_Damping_Mechanism_Decomposition_UQFF.md,Damping Mechanism Decomposition in UQFF Framework,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite hook,DONE v5.78,262,7fadd27d
009,PAPER_009b_Aether_String_TRZ_Damping_GW.md,"Aether, String, TRZ, and SCm Damping Decomposition in Gravitational Wave Strain",H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite/ledger/xi hook,DONE v5.78,262,67e6a25a
010,PAPER_010_Post_Merger_Oscillations_Remnant_Mass_UQFF.md,Post-Merger Oscillations and Remnant Mass in UQFF,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite hook,DONE v5.78,262,d2665820
010,PAPER_010b_Time_Domain_Chirp_23Hz_UQFF.md,Time-Domain Chirp Analysis — 23 Hz Onset and UQFF Frequency Evolution,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite hook,DONE v5.78,262,d2665820
011,PAPER_011_Stochastic_GW_Background_UQFF_Implications.md,Stochastic Gravitational Wave Background in UQFF,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite hook,DONE v5.78,262,d2665820
011,PAPER_011b_Amplitude_Reduction_Factor_UQFF.md,UQFF Amplitude Reduction Factor — Derivation and Calibration,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite hook,DONE v5.78,262,d2665820
012,PAPER_012_Eccentric_Binary_Circularization_UQFF.md,Eccentric Binary Circularization in UQFF,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite hook,DONE v5.78,262,d2665820
012,PAPER_012b_GW150914_Waveform_Validation.md,"GW150914 Waveform Validation — Peak Strain, Phase Lag, and Damping Ratio",H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite hook,DONE v5.78,262,d2665820
013,PAPER_013_Magnetar_Spin_Down_UQFF_Framework.md,Magnetar Spin-Down in UQFF Framework,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite hook,DONE v5.78,262,d2665820
013,PAPER_013b_LISA_SMBH_Merger_Rate_UQFF.md,LISA SMBH Merger Rate Predictions Under UQFF,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite hook,DONE v5.78,262,d2665820
014,PAPER_014_Primordial_Black_Holes_UQFF_Formation.md,Primordial Black Holes and UQFF Formation Mechanisms,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite hook,DONE v5.78,262,d2665820
014,PAPER_014b_EMRI_Aether_Damping_UQFF.md,EMRI Signal Modification by Aether Damping and String Harmonics,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite hook,DONE v5.78,262,d2665820
015,PAPER_015_Cosmological_Implications_UQFF_Modified_GW_Propagation.md,Cosmological Implications of UQFF Modified GW Propagation,A*,Cosmological_,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite/ledger/xi hook,DONE v5.78,262,67e6a25a
015,PAPER_015b_Multiband_GW_LISA_LIGO_UQFF.md,PAPER_015b: Multi-Band Gravitational Wave Astronomy: LISA+LIGO Synergy Under UQFF,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite/ledger/xi hook,DONE v5.78,262,67e6a25a
016,PAPER_016_Quantum_Entanglement_UQFF_Nonlocal_Correlations.md,Quantum Entanglement and UQFF Nonlocal Correlations,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite/ledger/xi hook,DONE v5.78,262,67e6a25a
016,PAPER_016b_White_Dwarf_Foreground_UQFF.md,PAPER_016b: White Dwarf Binary Foreground Reduction via UQFF,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite/ledger/xi hook,DONE v5.78,262,67e6a25a
017,PAPER_017_Redshift_Corrections_z1_in_UQFF_GW_Propagation.md,Redshift Corrections (z=1) in UQFF GW Propagation,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite/ledger/xi hook,DONE v5.78,262,67e6a25a
018,PAPER_018_Aether_Noise_Spectrum_Characterization_for_LISA.md,Aether Noise Spectrum Characterization for LISA,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite/ledger/xi hook,DONE v5.78,262,67e6a25a
019,PAPER_019_Pulsar_Timing_Array_Anomalies_UQFF.md,PAPER_019,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite/ledger/xi hook,DONE v5.78,262,67e6a25a
020,PAPER_020_Cosmic_Ray_Propagation_UQFF_Spacetime.md,Cosmic Ray Propagation in UQFF Spacetime,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite/ledger/xi hook,DONE v5.78,262,67e6a25a
021,PAPER_021_Gravitational_Lensing_Corrections_UQFF_Vacuum_Density.md,Gravitational Lensing Corrections from UQFF Vacuum Density,H*,,DONE - G1-G8 + 27-decade ledger block inserted; tailored P-suite/ledger/xi hook,DONE v5.78,262,67e6a25a
