quantity,origin,proposed_verdict,basis,needs_daniel,daniel_verdict
Phi_res,primitives,DANIEL_DECISION: 5/6 vs 0.84,"CONFLICT: reconciliation says 5/6 structural-canonical, 0.84 = legacy 2-sf rounding; CLAUDE.md Rule 2 locks 0.84 default + 5/6 nuclear; PAPER_2129 sector rule (counting=5/6, resonance=0.84) is a third model. Pick: (a) 5/6 canonical everywhere, (b) Rule 2 dual as-is, (c) 2129 sector rule as canon",YES,"VERDICT 2026-07-22: PAPER_2129 SECTOR RULE is canon (counting=5/6, resonance=0.84); reconciliation 5/6-everywhere finding logged as historical; CLAUDE.md Rule 2 values preserved"
rho_vac_UA,primitives,FIX: verify CondensedPhysics.py#L128867 = 7.09e-35,reconciliation flags factor-10 error vs canonical 7.0898e-36,YES,VERDICT 2026-07-22: FIXED same-session - CondensedPhysics.py line 128289 rho_vac_UA 7.09e-35 -> _RHO_VAC_UA AND rho_vac_SCm slot held UA value -> _RHO_VAC_SCM (double defect)
v_SCm / v_UA,primitives,VERIFY: 1e8 vs 3e5 (sound-speed) vs 1.0e-X variants,reconciliation flags conflicting declarations at 4 sites,YES,"VERDICT 2026-07-22 (R1-completion): v_SCm 3e5 FIXED to 1e8; FRB 0.99c VERIFIED against PAPER_096 - it is c*H_SCm completeness-weighted denominator (Dt = r_TRZ/(c*[SCm])), NOT a velocity - mislabel fixed comment-only, numerics correct per paper; v_UA smudge_and_append_phase5 L59 = buoyancy-ACTION integrand parametric, DISTINCT ROLE, tagged no-change"
H_SCm,primitives,SECTOR-SPLIT: 0.99 heliosphere-quiet / 1.0 TRZ-off / H(T) thermal (PAPER_1072 wired 2026-07-22),three legitimate regimes; thermal closure now live,YES,"VERDICT 2026-07-22 (R1-completion, explicit): 3-REGIME SPLIT ACCEPTED - 0.99 heliosphere-quiet / 1.0 TRZ-off / H(T) thermal PAPER_1072 - regimes of one quantity"
F_TRZ,primitives,CANONICAL 0.1; 0.01 = white-dwarf Pauli-suppressed REGIME not variant,reconciliation regime note,auto,ACCEPTED as proposed 2026-07-22
beta_i,primitives,"CANONICAL 0.6029; 0.6/0.603 = roundings (confirmations, not routes)",PAPER_1203 + campaign canonicalizations R365-R374,auto,ACCEPTED as proposed 2026-07-22
kappa,primitives,"CANONICAL 5e-4/day == 5.787e-9/s (unit forms, one route); derivative per PAPER_2112 = (SO_5/2)*F_TRZ^4",PAPER_2112 primitive-reduction,auto,ACCEPTED as proposed 2026-07-22
D_phys,primitives,CANONICAL per reconciliation baseline (no conflicts),locked,auto,ACCEPTED as proposed 2026-07-22
D_BSFG,primitives,CANONICAL per reconciliation baseline (no conflicts),locked,auto,ACCEPTED as proposed 2026-07-22
D_crit,primitives,CANONICAL per reconciliation baseline (no conflicts),locked,auto,ACCEPTED as proposed 2026-07-22
N_ch,primitives,CANONICAL per reconciliation baseline (no conflicts),locked,auto,ACCEPTED as proposed 2026-07-22
ORD_SO5,primitives,CANONICAL per reconciliation baseline (no conflicts),locked,auto,ACCEPTED as proposed 2026-07-22
K_Mex,primitives,CANONICAL per reconciliation baseline (no conflicts),locked,auto,ACCEPTED as proposed 2026-07-22
SSq,primitives,CANONICAL per reconciliation baseline (no conflicts),locked,auto,ACCEPTED as proposed 2026-07-22
rho_vac_SCm,primitives,CANONICAL per reconciliation baseline (no conflicts),locked,auto,ACCEPTED as proposed 2026-07-22
hbar,dual-route,DANIEL_DECISION: PAPER_590 vacuum-phonon vs 1209EE S629 composed-integer,both live; PAPER_2129 documented coexistence; tie-break rule needed (plan §6.6),YES,VERDICT 2026-07-22: PAPER_590 physical route canonical; STANDING RULE: physical derivation chains outrank composed-integer forms (compositions = confirmations)
Lambda,dual-route,"AUTO: PAPER_1156 canonical primary, PAPER_2094 = companion simple form","R228 precedent, reaffirmed PAPER_2125 revised",auto,ACCEPTED as proposed 2026-07-22
c_light,dual-route,"AUTO: PAPER_592 primary (0.13%), 1209EE S630 = confirmation",G/c plan + Sessions 237-239 audit closure,auto,ACCEPTED as proposed 2026-07-22
G_newton,dual-route,"AUTO: PAPER_593 primary (0.08%), derive_G_newton crossing-form = confirmation","G-promotion 2026-07-22, bit-identity gate pin",auto,ACCEPTED as proposed 2026-07-22
H0,dual-route,AUTO: PAPER_2093 grid 22*F_TRZ^19 primary UQFF form; 2.27e-18 stub = observed local anchor,PAPER_2125 Hubble-tension identification (residual IS the physics),auto,ACCEPTED as proposed 2026-07-22
k_B,dual-route,AUTO: 1209EE S628 with Phi_5/6 primary (0.0011%),PAPER_2129,auto,ACCEPTED as proposed 2026-07-22
T_SCm_60K,new-candidate,DANIEL_DECISION: A_5 = 60 kelvin lattice-node vs h*f/k_B = 59.95 K derived,PAPER_1072 wiring flag: 0.076% apart — same number two readings,YES,"VERDICT 2026-07-22 (R1-completion, explicit): PHYSICAL CANONICAL h*f/k_B = 59.95 K per hbar standing rule; A_5 = 60 K flagged as lattice-node candidate awaiting its own paper"
ALL_167_dispatch_alias_sets,dispatch,"AUTO: primary key canonical, aliases = access keys not routes",same closure function,auto,ACCEPTED as proposed 2026-07-22
ALL_1044_odmap_GAP_rows,odmap,"TRIAGE: June-era symbolic placeholders; propose bulk status=SYMBOLIC_PENDING, revisit post-R2",no numeric value in map; not new gaps,YES,"VERDICT 2026-07-22: bulk SYMBOLIC_PENDING_R1, revisit post-R2"
