ID,Title,Type,Category,Status,Markdown_Source,PDF_Location,Pages,Size_MB,Notes,Date_Created
PAPER_1200,SCm Holmlid Parkhomov Upgrade,Research,LENR-SCm,Complete,whitepapers/PAPER_1200_SCm_Holmlid_Upgrade.md,pdf/PAPER_1200_SCm_Holmlid_Upgrade.pdf,13,0.07,Low-Energy Nuclear Reaction framework with Holmlid gas clusters and Parkhomov modifications,2026-05-22
PAPER_1201,SCm Mizuno LENR Transmutation,Research,LENR-SCm,Complete,whitepapers/PAPER_1201_SCm_Mizuno_LENR_Transmutation.md,pdf/PAPER_1201_SCm_Mizuno_LENR_Transmutation.pdf,12,0.06,Mizuno-type LENR transmutation mechanism integrated with SCm vacuum theory,2026-05-22
PAPER_1202,SCm Pons Fleischmann Derivation,Research,LENR-SCm,Complete,whitepapers/PAPER_1202_SCm_PonsFleischmann_Derivation.md,pdf/PAPER_1202_SCm_PonsFleischmann_Derivation.pdf,13,0.07,Pons-Fleischmann electrochemistry framework unified with UQFF buoyancy mechanisms,2026-05-22
PAPER_1203,SCm Rossi ECat Variants,Research,LENR-SCm,Complete,whitepapers/PAPER_1203_SCm_Rossi_ECat_Variants_Unified.md,pdf/PAPER_1203_SCm_Rossi_ECat_Variants_Unified.pdf,14,0.09,Rossi E-Cat device variants unified under UQFF SCm resonance framework,2026-05-22
PAPER_S201,Phase H Null Extraction,Research,Phase_H,Complete,whitepapers/PAPER_S201_Phase_H201_NullExtraction.md,pdf/PAPER_S201_Phase_H201_NullExtraction.pdf,15,0.27,Phase H Session 201 - Framework for null point extraction from unified field,2026-05-22
PAPER_S202,Phase H Variant Branches,Research,Phase_H,Complete,whitepapers/PAPER_S202_Phase_H202_VariantBranches.md,pdf/PAPER_S202_Phase_H202_VariantBranches.pdf,17,0.31,Phase H Session 202 - Solution space topology and branch classification,2026-05-22
PAPER_S203,Phase H Phase Transition Framework,Research,Phase_H,Complete,whitepapers/PAPER_S203_Phase_H203_PTF.md,pdf/PAPER_S203_Phase_H203_PTF.pdf,16,0.29,Phase H Session 203 - PTF describing quantum field phase transitions,2026-05-22
PAPER_S204,Phase H Gap Closure,Research,Phase_H,Complete,whitepapers/PAPER_S204_Phase_H204_GapClosure.md,pdf/PAPER_S204_Phase_H204_GapClosure.pdf,16,0.29,Phase H Session 204 - Gap closure mechanisms in UQFF energy landscape,2026-05-22
PAPER_S205,Phase H Expansion and Erosion,Research,Phase_H,Complete,whitepapers/PAPER_S205_Phase_H205_ExpansionErosion.md,pdf/PAPER_S205_Phase_H205_ExpansionErosion.pdf,18,0.32,Phase H Session 205 - Field expansion erosion and balance mechanisms,2026-05-22
REF_001,COMPLETE UQFF Equations Reference,Reference,Framework_Reference,Complete,whitepapers/COMPLETE_UQFF_EQUATIONS_REFERENCE.md,pdf/COMPLETE_UQFF_EQUATIONS_REFERENCE.pdf,24,0.12,Master reference document for all UQFF equations constants and relationships,2026-05-22
REF_002,Star Magic Framework,Reference,Framework_Reference,Complete,whitepapers/Star-Magic.md,pdf/Star-Magic.pdf,18,0.09,Comprehensive overview of Star-Magic UQFF framework theory and applications,2026-05-22
REF_003,UQFF Validation and Synchronization Audit,Reference,Framework_Reference,Complete,whitepapers/UQFF_VALIDATION_SYNC_AUDIT.md,pdf/UQFF_VALIDATION_SYNC_AUDIT.pdf,32,0.34,Cross-implementation validation audit of UQFF across C++ Python JavaScript,2026-05-22
