paper_id,variant,filename,bucket,reason,action
001,,PAPER_001_GW170817_UQFF_Damping_Analysis.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
002,,PAPER_002_GW190425_Mass_Gap_Interpretation.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
003,,PAPER_003_GW150914_UQFF_vs_LIGO_Strain.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
004,,PAPER_004_GW170817_BNS_Chirp_Phase_Evolution.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
005,,PAPER_005_BH_Merger_Energy_Retention_UQFF.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
006,,PAPER_006_GW170817_Multi_Messenger_Full_Inspiral.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
007,,PAPER_007_Tidal_Deformability_Constraints_BNS_UQFF.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
008,,PAPER_008_UQFF_Waveform_Phase_Evolution_Template_Mismatch.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
008,b,PAPER_008b_Full_Inspiral_Waveform_UQFF.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
009,,PAPER_009_Damping_Mechanism_Decomposition_UQFF.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
009,b,PAPER_009b_Aether_String_TRZ_Damping_GW.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
010,,PAPER_010_Post_Merger_Oscillations_Remnant_Mass_UQFF.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
010,b,PAPER_010b_Time_Domain_Chirp_23Hz_UQFF.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
011,,PAPER_011_Stochastic_GW_Background_UQFF_Implications.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
011,b,PAPER_011b_Amplitude_Reduction_Factor_UQFF.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
012,,PAPER_012_Eccentric_Binary_Circularization_UQFF.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
012,b,PAPER_012b_GW150914_Waveform_Validation.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
013,,PAPER_013_Magnetar_Spin_Down_UQFF_Framework.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
013,b,PAPER_013b_LISA_SMBH_Merger_Rate_UQFF.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
014,,PAPER_014_Primordial_Black_Holes_UQFF_Formation.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
014,b,PAPER_014b_EMRI_Aether_Damping_UQFF.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
015,,PAPER_015_Cosmological_Implications_UQFF_Modified_GW_Propagation.md,A,filename: Cosmolog,Add closing section: v5.78 27-decade vacuum ledger (PAPER_1170) + xi=13/3
015,b,PAPER_015b_Multiband_GW_LISA_LIGO_UQFF.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
016,,PAPER_016_Quantum_Entanglement_UQFF_Nonlocal_Correlations.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
016,b,PAPER_016b_White_Dwarf_Foreground_UQFF.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
017,,PAPER_017_Redshift_Corrections_z1_in_UQFF_GW_Propagation.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
018,,PAPER_018_Aether_Noise_Spectrum_Characterization_for_LISA.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
019,,PAPER_019_Pulsar_Timing_Array_Anomalies_UQFF.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
020,,PAPER_020_Cosmic_Ray_Propagation_UQFF_Spacetime.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
021,,PAPER_021_Gravitational_Lensing_Corrections_UQFF_Vacuum_Density.md,A,filename: Vacuum_Density,Add closing section: v5.78 27-decade vacuum ledger (PAPER_1170) + xi=13/3
022,,PAPER_022_String_Compactification_Signatures_GW_Background.md,D,filename: Compactification,Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
023,,PAPER_023_Tau_Anomalous_Magnetic_Moment_g2_UQFF.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
024,,PAPER_024_Tau_Electric_Dipole_Moment_UQFF.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
025,,PAPER_025_Dark_Matter_Direct_Detection_UQFF.md,D,PROMOTED from H -> D (content: xi=13/3 R26+KK lock (R26\b)),Forward-pointer to PAPER_1171/1172 (xi=13/3 R26+KK lock) + PAPER_1173
025,b,PAPER_025b_Neutrino_Polarizability_UQFF.md,E,PROMOTED from H -> E (content: P-suite falsifiability (CMB-?S4)),Forward-pointer to PAPER_1174 P1-P14 suite + PAPER_1177-1180
026,,PAPER_026_Sterile_Neutrino_Mass_Generation_UQFF.md,E,PROMOTED from H -> E (content: P-suite falsifiability (CMB-?S4)),Forward-pointer to PAPER_1174 P1-P14 suite + PAPER_1177-1180
