Constant Name,Symbol,Value,Units,Source File,Category,Description,References
RHO_VAC_SCM,ρ_vac_SCm,7.0898154036e-37,J/m³,dpm_vacuum_manifold.py,Quantum Chain,SCm vacuum energy density - emergent from 26D hydrogen geometry,G9 structural closure - PAPER_409
RHO_VAC_UA,ρ_vac_UA,7.0898154036e-36,J/m³,dpm_vacuum_manifold.py,Quantum Chain,UA vacuum energy density - 10× SCm scale,G7 |SO(5)| ratio
SOLAR_MASS,M_☉,1.989e30,kg,index.js / copilot-instructions.md,Physical Constants,Mass of the Sun,Standard SI unit
PLANCK_CONSTANT,h,1.055e-34,J·s,index.js / copilot-instructions.md / MAIN_1_CoAnQi.cpp,Physical Constants,Planck's reduced constant (ℏ),PAPER_590 derivation
SPEED_OF_LIGHT,c,2.998e8,m/s,index.js / copilot-instructions.md / dpm_vacuum_manifold.py,Physical Constants,Speed of light in vacuum,PAPER_592 triad equilibrium
GRAVITATIONAL_CONSTANT,G,6.674e-11,m³/(kg·s²),index.js / copilot-instructions.md,Physical Constants,Gravitational constant,PAPER_593 void coupling
B_CRIT_MAGNETAR,B_crit,4.4e13,T,index.js / copilot-instructions.md / AntennaeGalaxies.cpp,Physical Constants,Critical magnetic field for magnetars,Magnetar field strength
SSQ,[SSq],0.57,dimensionless,dpm_vacuum_manifold.py / QCalcGeom.py / index.js / CondensedPhysics.py,UQFF Framework,Squared-sum convergence constant - triple-point calibration,26D Ramanujan calibration center
BETA_I,β_i,0.6,dimensionless,dpm_vacuum_manifold.py / QCalcGeom.py / index.js,UQFF Framework,Buoyancy coupling constant,Canonical from scm_vacuum_manifold
KAPPA,κ,0.0005,day⁻¹,dpm_vacuum_manifold.py / 99system_master_equation.py,UQFF Framework,Reactivity decay constant - learning rate,Gradient descent on [SSq]
KAPPA_FLOAT,κ,0.0005,dimensionless,dpm_vacuum_manifold.py / index.js,UQFF Framework,Reactivity decay constant (Python float),For numpy/math exp() calculations
F_TRZ,F_TRZ,0.1,dimensionless,QCalcGeom.py / copilot-instructions.md,UQFF Framework,Time-Reversal Zone suppression factor,Temporal reversal in quasar dynamics
H_SCm,H_SCm,0.99,dimensionless,copilot-instructions.md / workspace_22May2026.md,UQFF Framework,Superconductive coupling coefficient,Session 278-291 calibration
U_UA,U_UA,0.0001,dimensionless,copilot-instructions.md,UQFF Framework,UA vacuum coupling factor,Session 278-291 calibration
k_eta,k_η,1e-113,dimensionless,copilot-instructions.md / add_uqff_remaining.py,UQFF Framework,Exotic coupling constant - dimensionless exponent,Velocity-squared relativistic term
E0,E_0,1e-20,J,dpm_vacuum_manifold.py,Quantum Chain,Base energy scale for 26 quantum levels,26-level hydrogen geometry magnitude
LAMBDA_I,λ_i,1.0,dimensionless,dpm_vacuum_manifold.py / QCalcGeom.py,UQFF Framework,Manifold coupling constant,DPM quantum chain topology
OMEGA_S,ω_s,2.5e-6,rad/s,dpm_vacuum_manifold.py / QCalcGeom.py,UQFF Framework,Stellar angular frequency,DPM vortex rotation
C_LIGHT,c,2.99792458e8,m/s,dpm_vacuum_manifold.py / index.js,Physical Constants,Speed of light (high precision),For /c² conversion calculations
BOHR_RADIUS,a_0,0.529e-10,m,index.js / MAIN_1_CoAnQi.cpp,Physical Constants,Bohr radius - atomic scale,Quantum mechanical baseline
THZ_PHONON,f_THz,1.25e12,Hz,dpm_vacuum_manifold.py / index.js / 99system_master_equation.py,Experimental Integration,1.25 THz SCm phonon resonance frequency,Holmlid/Parkhomov resonance
S26_3,S26_3,1.4531e26,dimensionless,dpm_vacuum_manifold.py / index.js / 99system_wstp_gamma.py,26D Framework,26D Ramanujan amplification factor,VDS convergence amplifier
PHI_RESONANCE,φ_res,0.84,dimensionless,index.js,Experimental Integration,On-resonance Gaussian factor,Holmlid KER calculation
E_PHONON_SCM,E_phonon,8.28e-22,J,index.js,Experimental Integration,SCm phonon energy (h × f_THz),"h × 1.25 THz"
KER_SCM,KER,1.2e-45,J,index.js,Experimental Integration,Holmlid Karabut Energy Release,Holmlid KER = h × f_THz × S26_3 × φ_res
SOLAR_RADIUS,R_☉,6.96e8,m,index.js,Astrophysical Constants,Solar radius,Standard SI unit
GALACTIC_SPIN_RATE,Ω_gal,7.3e-16,rad/s,index.js,Astrophysical Constants,Milky Way galactic rotation rate,Typical spiral galaxy spin
BLACK_HOLE_MASS_SgrA,M_bh,8.15e36,kg,index.js,Astrophysical Constants,Sagittarius A* supermassive black hole mass,4.1 million solar masses
GALACTIC_DISTANCE,d_gal,2.55e20,m,index.js,Astrophysical Constants,Distance to galactic center,~25,000 light-years
AETHER_DENSITY,ρ_aether,1e-23,kg/m³,index.js,Quantum Vacuum,Aether vacuum density,Classical Newtonian medium
SCM_DENSITY,ρ_SCm,1e15,kg/m³,index.js,Quantum Vacuum,Superconductive material density,Core coupling medium
HELIOSPHERE_RADIUS,R_helio,1.496e13,m,index.js,Astrophysical Constants,Heliosphere radius,"~100,000 AU"
HUBBLE_TIME,t_H,4.358e17,s,index.js,Cosmological Constants,Hubble time = age of universe,13.8 billion years
LAMBDA_COSMO,Λ,1.1e-52,m⁻²,index.js,Cosmological Constants,Cosmological constant,Dark energy scale
COLMAN_GILLESPIE_FREQ,f_CG,300,Hz,index.js,Experimental Integration,Colman-Gillespie activation frequency,Lab resonance marker
THZ_RESONANCE_LOW,f_low,1.2e12,Hz,index.js,Experimental Integration,THz resonance lower bound,Resonance window
THZ_RESONANCE_HIGH,f_high,1.3e12,Hz,index.js,Experimental Integration,THz resonance upper bound,Resonance window
RHO_VAC_GRADIENT_RATIO,r_grad,7.09e-9,dimensionless,index.js,Quantum Vacuum,Vacuum density gradient ratio,Drives DPM field-gravity coupling
